trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
10LB62,15:58:00,15:58:00,100,1,,,,
10LB62,,,103,2,,,,
10LB62,,,105,3,,,,
10LB62,,,1111,4,,,,
10LB62,,,1113,5,,,,
10LB62,,,1511,6,,,,
10LB62,,,1521,7,,,,
10LB62,16:06:00,16:06:00,1524,8,,,,
10LB62,,,1534,9,,,,
10LB62,,,1530,10,,,,
10LB62,,,1716,11,,,,
10LB62,,,1710,12,,,,
10LB62,16:17:00,16:17:00,100,13,,,,
10LB44,12:34:00,12:34:00,100,1,,,,
10LB44,,,103,2,,,,
10LB44,,,105,3,,,,
10LB44,,,1111,4,,,,
10LB44,,,1113,5,,,,
10LB44,,,1511,6,,,,
10LB44,,,1521,7,,,,
10LB44,12:42:00,12:42:00,1524,8,,,,
10LB44,,,1534,9,,,,
10LB44,,,1530,10,,,,
10LB44,,,1716,11,,,,
10LB44,,,1710,12,,,,
10LB44,12:53:00,12:53:00,100,13,,,,
10LB69,17:22:00,17:22:00,100,1,,,,
10LB69,,,103,2,,,,
10LB69,,,105,3,,,,
10LB69,,,1111,4,,,,
10LB69,,,1113,5,,,,
10LB69,,,1511,6,,,,
10LB69,,,1521,7,,,,
10LB69,17:29:00,17:29:00,1524,8,,,,
10LB69,,,1534,9,,,,
10LB69,,,1530,10,,,,
10LB69,,,1716,11,,,,
10LB69,,,1710,12,,,,
10LB69,17:41:00,17:41:00,100,13,,,,
10LB68,17:10:00,17:10:00,100,1,,,,
10LB68,,,103,2,,,,
10LB68,,,105,3,,,,
10LB68,,,1111,4,,,,
10LB68,,,1113,5,,,,
10LB68,,,1511,6,,,,
10LB68,,,1521,7,,,,
10LB68,17:17:00,17:17:00,1524,8,,,,
10LB68,,,1534,9,,,,
10LB68,,,1530,10,,,,
10LB68,,,1716,11,,,,
10LB68,,,1710,12,,,,
10LB68,17:29:00,17:29:00,100,13,,,,
10LB41,12:10:00,12:10:00,100,1,,,,
10LB41,,,103,2,,,,
10LB41,,,105,3,,,,
10LB41,,,1111,4,,,,
10LB41,,,1113,5,,,,
10LB41,,,1511,6,,,,
10LB41,,,1521,7,,,,
10LB41,12:18:00,12:18:00,1524,8,,,,
10LB41,,,1534,9,,,,
10LB41,,,1530,10,,,,
10LB41,,,1716,11,,,,
10LB41,,,1710,12,,,,
10LB41,12:29:00,12:29:00,100,13,,,,
10LB42,12:18:00,12:18:00,100,1,,,,
10LB42,,,103,2,,,,
10LB42,,,105,3,,,,
10LB42,,,1111,4,,,,
10LB42,,,1113,5,,,,
10LB42,,,1511,6,,,,
10LB42,,,1521,7,,,,
10LB42,12:26:00,12:26:00,1524,8,,,,
10LB42,,,1534,9,,,,
10LB42,,,1530,10,,,,
10LB42,,,1716,11,,,,
10LB42,,,1710,12,,,,
10LB42,12:37:00,12:37:00,100,13,,,,
10LB14,09:00:00,09:00:00,100,1,,,,
10LB14,,,103,2,,,,
10LB14,,,105,3,,,,
10LB14,,,1111,4,,,,
10LB14,,,1113,5,,,,
10LB14,,,1511,6,,,,
10LB14,,,1521,7,,,,
10LB14,09:09:00,09:09:00,1524,8,,,,
10LB14,,,1534,9,,,,
10LB14,,,1530,10,,,,
10LB14,,,1716,11,,,,
10LB14,,,1710,12,,,,
10LB14,09:19:00,09:19:00,100,13,,,,
10LB15,09:06:00,09:06:00,100,1,,,,
10LB15,,,103,2,,,,
10LB15,,,105,3,,,,
10LB15,,,1111,4,,,,
10LB15,,,1113,5,,,,
10LB15,,,1511,6,,,,
10LB15,,,1521,7,,,,
10LB15,09:15:00,09:15:00,1524,8,,,,
10LB15,,,1534,9,,,,
10LB15,,,1530,10,,,,
10LB15,,,1716,11,,,,
10LB15,,,1710,12,,,,
10LB15,09:25:00,09:25:00,100,13,,,,
10LB16,09:12:00,09:12:00,100,1,,,,
10LB16,,,103,2,,,,
10LB16,,,105,3,,,,
10LB16,,,1111,4,,,,
10LB16,,,1113,5,,,,
10LB16,,,1511,6,,,,
10LB16,,,1521,7,,,,
10LB16,09:21:00,09:21:00,1524,8,,,,
10LB16,,,1534,9,,,,
10LB16,,,1530,10,,,,
10LB16,,,1716,11,,,,
10LB16,,,1710,12,,,,
10LB16,09:31:00,09:31:00,100,13,,,,
10LB17,09:18:00,09:18:00,100,1,,,,
10LB17,,,103,2,,,,
10LB17,,,105,3,,,,
10LB17,,,1111,4,,,,
10LB17,,,1113,5,,,,
10LB17,,,1511,6,,,,
10LB17,,,1521,7,,,,
10LB17,09:27:00,09:27:00,1524,8,,,,
10LB17,,,1534,9,,,,
10LB17,,,1530,10,,,,
10LB17,,,1716,11,,,,
10LB17,,,1710,12,,,,
10LB17,09:37:00,09:37:00,100,13,,,,
10LB10,08:36:00,08:36:00,100,1,,,,
10LB10,,,103,2,,,,
10LB10,,,105,3,,,,
10LB10,,,1111,4,,,,
10LB10,,,1113,5,,,,
10LB10,,,1511,6,,,,
10LB10,,,1521,7,,,,
10LB10,08:45:00,08:45:00,1524,8,,,,
10LB10,,,1534,9,,,,
10LB10,,,1530,10,,,,
10LB10,,,1716,11,,,,
10LB10,,,1710,12,,,,
10LB10,08:55:00,08:55:00,100,13,,,,
10LB11,08:42:00,08:42:00,100,1,,,,
10LB11,,,103,2,,,,
10LB11,,,105,3,,,,
10LB11,,,1111,4,,,,
10LB11,,,1113,5,,,,
10LB11,,,1511,6,,,,
10LB11,,,1521,7,,,,
10LB11,08:51:00,08:51:00,1524,8,,,,
10LB11,,,1534,9,,,,
10LB11,,,1530,10,,,,
10LB11,,,1716,11,,,,
10LB11,,,1710,12,,,,
10LB11,09:01:00,09:01:00,100,13,,,,
10LB12,08:48:00,08:48:00,100,1,,,,
10LB12,,,103,2,,,,
10LB12,,,105,3,,,,
10LB12,,,1111,4,,,,
10LB12,,,1113,5,,,,
10LB12,,,1511,6,,,,
10LB12,,,1521,7,,,,
10LB12,08:57:00,08:57:00,1524,8,,,,
10LB12,,,1534,9,,,,
10LB12,,,1530,10,,,,
10LB12,,,1716,11,,,,
10LB12,,,1710,12,,,,
10LB12,09:07:00,09:07:00,100,13,,,,
10LB13,08:54:00,08:54:00,100,1,,,,
10LB13,,,103,2,,,,
10LB13,,,105,3,,,,
10LB13,,,1111,4,,,,
10LB13,,,1113,5,,,,
10LB13,,,1511,6,,,,
10LB13,,,1521,7,,,,
10LB13,09:03:00,09:03:00,1524,8,,,,
10LB13,,,1534,9,,,,
10LB13,,,1530,10,,,,
10LB13,,,1716,11,,,,
10LB13,,,1710,12,,,,
10LB13,09:13:00,09:13:00,100,13,,,,
10LB40,12:02:00,12:02:00,100,1,,,,
10LB40,,,103,2,,,,
10LB40,,,105,3,,,,
10LB40,,,1111,4,,,,
10LB40,,,1113,5,,,,
10LB40,,,1511,6,,,,
10LB40,,,1521,7,,,,
10LB40,12:10:00,12:10:00,1524,8,,,,
10LB40,,,1534,9,,,,
10LB40,,,1530,10,,,,
10LB40,,,1716,11,,,,
10LB40,,,1710,12,,,,
10LB40,12:21:00,12:21:00,100,13,,,,
10LB18,09:24:00,09:24:00,100,1,,,,
10LB18,,,103,2,,,,
10LB18,,,105,3,,,,
10LB18,,,1111,4,,,,
10LB18,,,1113,5,,,,
10LB18,,,1511,6,,,,
10LB18,,,1521,7,,,,
10LB18,09:33:00,09:33:00,1524,8,,,,
10LB18,,,1534,9,,,,
10LB18,,,1530,10,,,,
10LB18,,,1716,11,,,,
10LB18,,,1710,12,,,,
10LB18,09:43:00,09:43:00,100,13,,,,
10LB19,09:30:00,09:30:00,100,1,,,,
10LB19,,,103,2,,,,
10LB19,,,105,3,,,,
10LB19,,,1111,4,,,,
10LB19,,,1113,5,,,,
10LB19,,,1511,6,,,,
10LB19,,,1521,7,,,,
10LB19,09:39:00,09:39:00,1524,8,,,,
10LB19,,,1534,9,,,,
10LB19,,,1530,10,,,,
10LB19,,,1716,11,,,,
10LB19,,,1710,12,,,,
10LB19,09:49:00,09:49:00,100,13,,,,
