stop_lon,stop_name,stop_lat,stop_id,location_type
-76.461838,Rose Hill @ Muriel,42.473938,3921,0
-76.448402,Skyvue @ Snyder Hill,42.423042,5552,0
-76.553596,Rte 34 @ Melody Ln,42.381859,6515,0
-76.497658,Green @ Commons,42.438618,165,0
-76.285805,TC3 Dorms,42.49929,4787,0
-76.288277,TC3,42.502785,4783,0
-76.472801,University Park Apts,42.48074,3557,0
-76.474922,Gaslight Village Apts,42.481339,3556,0
-76.474915,Gaslight Village Apts,42.481285,3555,0
-76.472672,Uptown Village Apts,42.478493,3554,0
-76.472534,Uptown Village Apts,42.478474,3553,0
-76.478333,Uptown @ Cinema,42.481106,3550,0
-76.477898,Pleasant Grove @ Hanshaw,42.467319,3712,0
-76.468956,Uptown @ Warrenwood Apts,42.478523,3559,0
-76.472885,University Park Apts,42.480549,3558,0
-76.499023,Tower @ Gym Rd,42.419586,347,0
-76.495422,Ithaca College - Roy Park School,42.424351,340,0
-76.499977,Ithaca College - Main Entrance,42.421406,341,0
-76.499657,Grant Egbert @ Alumni,42.421803,342,0
-76.499405,Grant Egbert @ Alumni,42.42173,343,0
-76.499031,Tower @ Gym Rd,42.419662,348,0
-76.494415,The Towers @ Ithaca College,42.420338,349,0
-76.503075,Lincoln @ Dey,42.451187,918,0
-76.526093,Haller @ Hook,42.439304,719,0
-76.526062,Haller @ Elm,42.436352,718,0
-76.526009,Haller @ Elm,42.436466,717,0
-76.523033,West Village,42.435436,715,0
-76.5224,Elm @ West Village,42.436592,713,0
-76.519119,Chestnut @ Hook,42.438911,710,0
-76.497063,N. Lansing Fire Co. #4,42.612164,3333,0
-76.496834,Rte 34 @ Storm,42.60289,3332,0
-76.496704,Rt 34 @ N Lansing School,42.602589,3331,0
-76.406097,Lower Creek @ Pinckney,42.477119,4550,0
-76.490463,State @ Stewart,42.439247,1701,0
-76.490433,State @ Stewart,42.439339,1702,0
-76.488632,State @ Quarry,42.438679,1703,0
-76.488419,State @ Quarry,42.438667,1704,0
-76.290596,Lake Rd @ Kimberly Dr,42.480396,4737,0
-76.591423,Rte 79 @ Van Dorn,42.452053,2319,0
-76.57106,Rte 79 @ Sheffield,42.447376,2316,0
-76.571388,Rte 79 @ Sheffield,42.447361,2315,0
-76.540222,Rt 79 @ EcoVillage,42.448265,2310,0
-76.497299,Lake St @ Boynton Middle School,42.460854,1129,0
-76.493645,Gun Hill Apartments Across Street,42.451084,1120,0
-76.494843,Falls @ Lake,42.452858,1123,0
-76.49472,Lake @ Falls,42.452991,1124,0
-76.496002,Lake St @ Ithaca High School,42.455181,1125,0
-76.496094,Lake St @ Ithaca High School,42.455162,1126,0
-76.346893,Rte 38 @ Rte 366,42.513981,4326,0
-76.50618,Rt 34 @ Rt 34B,42.537491,3140,0
-76.50782,Rte 34B @ Conlon,42.537964,3141,0
-76.507584,Rte 34B @ Conlon,42.53801,3142,0
-76.479202,Rte 96B @ Michigan Hollow,42.349903,6358,0
-76.525162,Rte 34B @ Brickyard,42.543377,3149,0
-76.399765,Creekwood Apartments,42.479595,4554,0
-76.406296,Pinckney @ Lower Creek,42.477116,4552,0
-76.399712,Creekwood Apartments,42.479568,4553,0
-76.519447,Elmira @ Spencer,42.420002,569,0
-76.540718,Overlook Apts,42.465775,2542,0
-76.536995,Museum Of The Earth,42.467205,2547,0
-76.537064,Cayuga Medical Center,42.468266,2546,0
-76.503647,Plain @ Wood,42.432819,524,0
-76.504509,Titus Towers,42.431789,525,0
-76.504684,Elmira @ Pudgies,42.429901,527,0
