Seneca @ Commons,Goldwin Smith Hall,Seneca @ Commons
7:12,7:20,7:31
7:24,7:32,7:43
7:36,7:44,7:55
7:48,7:56,8:07
8:00,8:09,8:19
8:06,8:15,8:25
8:12,8:21,8:31
8:18,8:27,8:37
8:24,8:33,8:43
8:30,8:39,8:49
8:36,8:45,8:55
8:42,8:51,9:01
8:48,8:57,9:07
8:54,9:03,9:13
9:00,9:09,9:19
9:06,9:15,9:25
9:12,9:21,9:31
9:18,9:27,9:37
9:24,9:33,9:43
9:30,9:39,9:49
9:35,9:44,9:54
9:40,9:49,9:59
9:45,9:54,10:04
9:50,9:59,10:09
9:56,10:05,10:15
10:02,10:11,10:21
10:10,10:19,10:29
10:18,10:27,10:37
10:26,10:35,10:45
10:34,10:43,10:53
10:42,10:51,11:01
10:50,10:59,11:09
10:58,11:07,11:17
11:06,11:15,11:25
11:14,11:23,11:33
11:22,11:30,11:41
11:30,11:38,11:49
11:38,11:46,11:57
11:46,11:54,24:05:00
11:54,24:02:00,24:13:00
24:02:00,24:10:00,24:21:00
24:10:00,24:18:00,24:29:00
24:18:00,24:26:00,24:37:00
24:26:00,24:34:00,24:45:00
24:34:00,24:42:00,24:53:00
24:42:00,24:50:00,13:01:00
24:50:00,24:58:00,13:09:00
24:58:00,13:06:00,13:17:00
13:10:00,13:18:00,13:29:00
13:22:00,13:30:00,13:41:00
13:34:00,13:42:00,13:53:00
13:46:00,13:54:00,14:05:00
13:58:00,14:06:00,14:17:00
14:10:00,14:18:00,14:29:00
14:22:00,14:30:00,14:41:00
14:34:00,14:42:00,14:53:00
14:46:00,14:54:00,15:05:00
14:58:00,15:06:00,15:17:00
15:10:00,15:18:00,15:29:00
15:22:00,15:30:00,15:41:00
15:34:00,15:42:00,15:53:00
15:46:00,15:54:00,16:05:00
15:58:00,16:06:00,16:17:00
16:10:00,16:18:00,16:29:00
16:22:00,16:30:00,16:41:00
16:34:00,16:42:00,16:53:00
16:46:00,16:53:00,17:05:00
16:58:00,17:05:00,17:17:00
17:10:00,17:17:00,17:29:00
17:22:00,17:29:00,17:41:00
17:34:00,17:41:00,17:53:00
17:46:00,17:53:00,18:05:00
17:58:00,18:05:00,18:17:00
18:22:00,18:29:00,18:41:00
18:46:00,18:53:00,19:05:00
19:10:00,19:17:00,19:29:00
19:34:00,19:41:00,19:53:00
19:58:00,20:05:00,20:17:00
