Seneca @ Commons,Titus Towers,Tops,Walmart,Titus Towers,Green @ Commons,Route #
8:21,8:28,ERROR,8:37,8:42,8:47,8:55,ERROR
9:21,9:28,ERROR,9:37,9:42,9:47,9:55,ERROR
10:21,10:28,ERROR,10:37,10:42,10:47,10:55,ERROR
11:21,11:28,ERROR,11:37,11:42,11:47,11:55,ERROR
24:21:00,24:28:00,ERROR,24:37:00,24:42:00,24:47:00,24:55:00,ERROR
13:21:00,13:28:00,ERROR,13:37:00,13:42:00,13:47:00,13:55:00,ERROR
14:21:00,14:28:00,ERROR,14:37:00,14:42:00,14:47:00,14:55:00,ERROR
14:51:00,14:58:00,ERROR,15:07:00,15:12:00,15:17:00,15:25:00,ERROR
15:21:00,15:28:00,ERROR,15:37:00,15:42:00,15:47:00,15:55:00,ERROR
15:51:00,15:58:00,ERROR,16:07:00,16:12:00,16:17:00,16:25:00,ERROR
16:21:00,16:28:00,ERROR,16:37:00,16:42:00,16:47:00,16:55:00,ERROR
16:51:00,16:58:00,ERROR,17:07:00,17:12:00,17:17:00,17:25:00,ERROR
17:21:00,17:28:00,ERROR,17:37:00,17:42:00,17:47:00,17:55:00,ERROR
18:21:00,18:28:00,ERROR,18:37:00,18:42:00,18:47:00,18:55:00,ERROR
19:21:00,19:28:00,ERROR,19:37:00,19:42:00,19:47:00,19:55:00,ERROR
20:21:00,20:28:00,ERROR,20:37:00,20:42:00,20:47:00,20:55:00,ERROR
