Leave TCAT Garage,Green @ Commons,Seneca @ Commons,Route #
ERROR,ERROR,ERROR,ERROR
5:14,5:24,5:26,ERROR
5:43,5:53,5:55,ERROR
5:48,5:58,ERROR,ERROR
5:50,6:00,ERROR,ERROR
6:00,6:10,ERROR,ERROR
6:05,6:15,ERROR,ERROR
6:06,6:16,ERROR,ERROR
6:10,6:20,ERROR,ERROR
6:13,6:23,6:25,ERROR
6:17,6:27,ERROR,ERROR
6:20,6:30,ERROR,ERROR
6:23,6:33,ERROR,ERROR
6:24,6:34,6:36,ERROR
6:25,6:35,ERROR,ERROR
6:26,6:36,ERROR,ERROR
6:30,6:40,ERROR,ERROR
6:35,6:45,ERROR,ERROR
6:38,6:48,ERROR,ERROR
6:43,6:53,ERROR,ERROR
6:43,6:53,6:55,ERROR
6:45,6:55,ERROR,ERROR
6:47,6:57,ERROR,ERROR
6:48,6:58,ERROR,ERROR
6:50,7:00,ERROR,ERROR
6:50,7:00,ERROR,ERROR
6:50,7:00,ERROR,ERROR
6:54,7:04,ERROR,ERROR
6:58,7:08,ERROR,ERROR
6:58,7:08,ERROR,ERROR
7:00,7:10,7:12,ERROR
7:08,7:18,ERROR,ERROR
7:09,7:19,7:21,ERROR
7:12,7:22,7:24,ERROR
7:20,7:30,ERROR,ERROR
7:23,7:33,ERROR,ERROR
7:23,7:33,ERROR,ERROR
7:50,8:00,ERROR,ERROR
11:28,11:38,ERROR,ERROR
13:55:00,14:05:00,ERROR,ERROR
14:28:00,14:38:00,ERROR,ERROR
14:43:00,14:53:00,ERROR,ERROR
14:50:00,15:00:00,ERROR,ERROR
14:55:00,15:05:00,ERROR,ERROR
15:05:00,15:15:00,ERROR,ERROR
15:15:00,15:25:00,ERROR,ERROR
15:20:00,15:30:00,ERROR,ERROR
15:25:00,15:35:00,ERROR,ERROR
16:08:00,16:23:00,ERROR,ERROR
16:09:00,16:24:00,ERROR,ERROR
16:15:00,16:30:00,ERROR,ERROR
16:15:00,16:30:00,ERROR,ERROR
16:15:00,16:30:00,ERROR,ERROR
16:18:00,16:33:00,ERROR,ERROR
16:20:00,16:35:00,ERROR,ERROR
16:20:00,16:35:00,ERROR,ERROR
16:20:00,16:35:00,ERROR,ERROR
16:25:00,16:40:00,ERROR,ERROR
16:36:00,16:51:00,ERROR,ERROR
16:45:00,17:00:00,ERROR,ERROR
