Route #,Green @ Commons,Seneca @ Commons,Arrive at TCAT Garage
ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,ERROR,ERROR,8:42,8:54
ERROR,ERROR,ERROR,8:43,8:55
ERROR,ERROR,ERROR,8:51,9:03
ERROR,8:45,ERROR,8:53,9:05
ERROR,ERROR,ERROR,9:00,9:12
ERROR,8:55,ERROR,9:03,9:15
ERROR,ERROR,ERROR,9:12,9:24
ERROR,ERROR,9:50,9:52,10:04
ERROR,ERROR,ERROR,9:54,10:06
ERROR,9:55,ERROR,10:03,10:15
ERROR,9:55,ERROR,10:03,10:15
ERROR,10:00,ERROR,10:08,10:20
ERROR,ERROR,ERROR,10:09,10:21
ERROR,ERROR,ERROR,10:12,10:24
ERROR,10:05,ERROR,10:13,10:25
ERROR,ERROR,11:32,11:34,11:46
ERROR,ERROR,24:00:00,24:02:00,24:14:00
ERROR,ERROR,ERROR,24:37:00,24:49:00
ERROR,ERROR,24:55:00,24:57:00,13:09:00
ERROR,ERROR,14:00:00,14:02:00,14:14:00
ERROR,ERROR,ERROR,17:40:00,17:52:00
ERROR,ERROR,ERROR,17:42:00,17:54:00
ERROR,ERROR,ERROR,17:52:00,18:04:00
ERROR,ERROR,ERROR,18:00:00,18:12:00
ERROR,ERROR,ERROR,18:05:00,18:17:00
ERROR,ERROR,ERROR,18:12:00,18:24:00
ERROR,ERROR,18:13:00,18:15:00,18:27:00
ERROR,ERROR,ERROR,18:23:00,18:35:00
ERROR,ERROR,18:25:00,18:27:00,18:39:00
ERROR,ERROR,ERROR,18:30:00,18:42:00
ERROR,ERROR,18:34:00,18:36:00,18:48:00
ERROR,ERROR,ERROR,18:39:00,18:51:00
ERROR,ERROR,ERROR,18:42:00,18:54:00
ERROR,ERROR,ERROR,18:44:00,18:56:00
ERROR,ERROR,ERROR,18:49:00,19:01:00
ERROR,ERROR,18:50:00,18:52:00,19:04:00
ERROR,ERROR,ERROR,18:54:00,19:06:00
ERROR,ERROR,ERROR,19:12:00,19:24:00
ERROR,ERROR,19:11:00,19:13:00,19:25:00
ERROR,ERROR,ERROR,19:14:00,19:26:00
ERROR,ERROR,ERROR,19:16:00,19:28:00
ERROR,ERROR,ERROR,19:24:00,19:36:00
ERROR,ERROR,ERROR,19:28:00,19:40:00
ERROR,ERROR,19:27:00,19:29:00,19:41:00
ERROR,ERROR,ERROR,20:12:00,20:24:00
ERROR,ERROR,20:39:00,20:41:00,20:53:00
ERROR,ERROR,ERROR,20:57:00,21:09:00
ERROR,ERROR,ERROR,21:18:00,21:30:00
ERROR,ERROR,ERROR,21:19:00,21:31:00
ERROR,ERROR,ERROR,21:27:00,21:39:00
ERROR,ERROR,21:55:00,21:57:00,22:09:00
ERROR,ERROR,ERROR,21:57:00,22:09:00
ERROR,ERROR,ERROR,23:27:00,23:39:00
ERROR,ERROR,ERROR,1:22,1:34
ERROR,ERROR,ERROR,2:26,2:38
ERROR,ERROR,ERROR,2:27,2:39
ERROR,ERROR,ERROR,2:34,2:46
