Seneca @ Commons,Green @ Commons,Collegetown Crossing,Rockefeller Hall,Highland @ Wyckoff,Triphammer @ Hanshaw,Shops @ Ithaca Mall Arrive,Shops @ Ithaca Mall Depart,Triphammer @ Hanshaw,Highland @ Wyckoff,Goldwin Smith Hall,Schwartz CPA,Seneca @ Commons,Green @ Commons,Route #
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,6:00,6:05,6:10,ERROR,ERROR,6:28,6:33,6:38,6:42,6:46,6:51,6:57,ERROR,ERROR
ERROR,6:30,6:35,6:40,6:44,6:48,6:58,7:03,7:08,7:12,7:16,7:21,7:27,ERROR,ERROR
ERROR,7:00,7:05,7:10,7:14,7:18,7:28,7:33,7:38,7:42,7:46,7:51,7:57,ERROR,ERROR
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,7:48,7:53,7:57,8:01,8:06,8:12,ERROR
ERROR,7:30,7:35,7:40,7:44,7:48,7:58,8:03,8:08,8:12,8:16,8:21,8:27,ERROR,ERROR
ERROR,7:45,7:50,7:55,7:59,8:03,8:13,8:18,8:23,8:27,8:31,8:36,8:42,ERROR,ERROR
7:48,8:00,8:05,8:10,8:14,8:18,8:28,8:33,8:38,8:42,8:46,8:51,8:57,ERROR,ERROR
ERROR,8:15,8:20,8:25,8:29,8:33,8:43,8:48,8:53,8:57,9:01,9:06,9:12,ERROR,ERROR
8:18,8:30,8:35,8:40,8:44,8:48,8:58,9:03,9:08,9:12,9:16,9:21,9:27,ERROR,ERROR
8:38,8:45,8:50,8:55,8:59,9:03,9:13,9:18,9:23,9:27,9:31,9:36,9:42,ERROR,ERROR
8:48,9:00,9:05,9:10,9:14,9:18,9:28,9:33,9:38,9:42,9:46,9:51,9:57,ERROR,ERROR
9:08,9:15,9:20,9:25,9:29,9:33,9:43,9:48,9:53,9:57,10:01,10:06,10:12,ERROR,ERROR
