Green @ Commons,Collegetown Crossing,Uris Hall,Boyce Thompson Institute,East Hill Plaza,Skyvue @ Snyder Hill,Honess Lane @ Route 79,East Hill Plaza,Vet School,Uris Hall Across the Street,Schwartz CPA,Seneca @ Commons,Green @ Commons
9:35,9:40,9:45,9:49,ERROR,9:58,10:03,10:09,10:14,10:18,10:22,10:28,10:32
10:35,10:40,10:45,10:49,ERROR,10:58,11:03,11:09,11:14,11:18,11:22,11:28,11:32
11:35,11:40,11:45,11:49,ERROR,11:58,24:03:00,24:09:00,24:14:00,24:18:00,24:22:00,24:28:00,24:32:00
24:35:00,24:40:00,24:45:00,24:49:00,24:54:00,24:58:00,13:03:00,ERROR,13:14:00,13:18:00,13:22:00,13:28:00,13:32:00
13:35:00,13:40:00,13:45:00,13:49:00,13:54:00,13:58:00,14:03:00,ERROR,14:14:00,14:18:00,14:22:00,14:28:00,14:32:00
14:35:00,14:40:00,14:45:00,14:49:00,14:54:00,14:58:00,15:03:00,ERROR,15:14:00,15:18:00,15:22:00,15:28:00,15:32:00
15:35:00,15:40:00,15:45:00,15:49:00,15:54:00,15:58:00,16:03:00,ERROR,16:14:00,16:18:00,16:22:00,16:28:00,16:32:00
16:35:00,16:40:00,16:45:00,16:49:00,16:54:00,16:58:00,17:03:00,ERROR,17:14:00,17:18:00,17:22:00,17:28:00,17:32:00
17:35:00,17:40:00,17:45:00,17:49:00,17:54:00,17:58:00,18:03:00,ERROR,18:14:00,18:18:00,18:22:00,18:28:00,18:32:00
18:35:00,18:40:00,18:45:00,18:49:00,18:54:00,18:58:00,19:03:00,ERROR,19:14:00,19:18:00,19:22:00,19:28:00,ERROR
