Seneca @ Commons,Green @ Commons,Collegetown Crossing,Baker Flagpole Slopeside,Jessup @ Pleasant Grove,Pleasant Grove @ Hanshaw,Shops @ Ithaca Mall Arrive,Shops @ Ithaca Mall Depart,Pleasant Grove @ Hanshaw,Jessup @ Pleasant Grove,Baker Flagpole,Schwartz CPA,Seneca @ Commons,Continues to Green @ Commons,Route #
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,9:30,9:35,9:38,9:45,9:48,9:58,10:03,10:08,10:11,10:15,10:18,10:27,ERROR,ERROR
9:48,10:00,10:05,10:08,10:15,10:18,10:28,10:33,10:38,10:41,10:45,10:48,10:57,ERROR,ERROR
10:18,10:30,10:35,10:38,10:45,10:48,10:58,11:03,11:08,11:11,11:15,11:18,11:27,ERROR,ERROR
10:48,11:00,11:05,11:08,11:15,11:18,11:28,11:33,11:38,11:41,11:45,11:48,11:57,ERROR,ERROR
11:18,11:30,11:35,11:38,11:45,11:48,11:58,24:03:00,24:08:00,24:11:00,24:15:00,24:18:00,24:27:00,ERROR,ERROR
11:48,24:00:00,24:05:00,24:08:00,24:15:00,24:18:00,24:28:00,24:33:00,24:38:00,24:41:00,24:45:00,24:48:00,24:57:00,ERROR,ERROR
24:18:00,24:30:00,24:35:00,24:38:00,24:45:00,24:48:00,24:58:00,13:03:00,13:08:00,13:11:00,13:15:00,13:18:00,13:27:00,ERROR,ERROR
24:48:00,13:00:00,13:05:00,13:08:00,13:15:00,13:18:00,13:28:00,13:33:00,13:38:00,13:41:00,13:45:00,13:48:00,13:57:00,ERROR,ERROR
13:18:00,13:30:00,13:35:00,13:38:00,13:45:00,13:48:00,13:58:00,14:03:00,14:08:00,14:11:00,14:15:00,14:18:00,14:27:00,ERROR,ERROR
13:48:00,14:00:00,14:05:00,14:08:00,14:15:00,14:18:00,14:28:00,14:33:00,14:38:00,14:41:00,14:45:00,14:48:00,14:57:00,ERROR,ERROR
14:18:00,14:30:00,14:35:00,14:38:00,14:45:00,14:48:00,14:58:00,15:03:00,15:08:00,15:11:00,15:15:00,15:18:00,15:27:00,ERROR,ERROR
14:48:00,15:00:00,15:05:00,15:08:00,15:15:00,15:18:00,15:28:00,15:33:00,15:38:00,15:41:00,15:45:00,15:48:00,15:57:00,ERROR,ERROR
15:18:00,15:30:00,15:35:00,15:38:00,15:45:00,15:48:00,15:58:00,16:03:00,16:08:00,16:11:00,16:15:00,16:18:00,16:27:00,ERROR,ERROR
15:48:00,16:00:00,16:05:00,16:08:00,16:15:00,16:18:00,16:28:00,16:33:00,16:38:00,16:41:00,16:45:00,16:48:00,16:57:00,ERROR,ERROR
16:18:00,16:30:00,16:35:00,16:38:00,16:45:00,16:48:00,16:58:00,17:03:00,17:08:00,17:11:00,17:15:00,17:18:00,17:27:00,ERROR,ERROR
16:48:00,17:00:00,17:05:00,17:08:00,17:15:00,17:18:00,17:28:00,17:33:00,17:38:00,17:41:00,17:45:00,17:48:00,17:56:00,ERROR,ERROR
17:18:00,17:30:00,17:35:00,17:38:00,17:45:00,17:48:00,17:58:00,18:03:00,18:08:00,18:11:00,18:15:00,18:18:00,18:26:00,ERROR,ERROR
17:48:00,18:00:00,18:05:00,18:08:00,18:15:00,18:18:00,18:28:00,18:33:00,18:38:00,18:41:00,18:45:00,18:48:00,18:56:00,ERROR,ERROR
