Depart A Lot,Depart Hasbrouck Apartments,Uris Hall,Boyce Thompson Institute,B Lot @ Vet Medical Center,East Hill Plaza Arrive,East Hill Plaza Depart,East Hill Office Building Loop,Vet Medical Center @ B Lot,Vet School,Uris Hall Across the Street,Arrive A Lot,Arrive Hasbrouck Apartments
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,7:08,7:10,7:15,7:20,7:23
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,7:18,7:20,7:25,7:30,7:33
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,7:28,7:30,7:35,ERROR,7:43
7:00,7:04,7:10,7:16,ERROR,7:25,7:28,7:30,7:38,7:40,7:45,ERROR,7:53
7:10,7:14,7:20,7:26,ERROR,7:35,7:38,7:40,7:48,7:50,7:55,ERROR,8:03
7:20,7:24,7:30,7:36,ERROR,7:45,7:48,7:50,7:58,8:00,8:05,ERROR,8:13
7:30,7:34,7:40,7:46,ERROR,7:55,7:58,8:00,8:08,8:10,8:15,ERROR,8:23
ERROR,7:43,7:49,7:55,ERROR,8:04,8:08,8:10,8:18,8:20,8:25,ERROR,8:33
ERROR,7:53,7:59,8:05,ERROR,8:14,8:18,8:20,8:28,8:30,8:35,ERROR,8:43
ERROR,8:03,8:09,8:15,ERROR,8:24,8:28,8:30,8:38,8:40,8:45,ERROR,8:53
ERROR,8:13,8:19,8:25,ERROR,8:34,8:38,8:40,8:48,8:50,8:55,ERROR,9:03
ERROR,8:23,8:29,8:35,ERROR,8:44,8:48,8:50,8:58,9:00,9:05,ERROR,9:13
ERROR,8:33,8:39,8:45,ERROR,8:54,9:00,9:02,ERROR,9:10,9:15,ERROR,9:23
ERROR,8:43,8:49,8:55,ERROR,9:04,9:10,9:12,ERROR,9:20,9:25,ERROR,9:33
ERROR,8:53,8:59,9:05,ERROR,9:14,9:20,9:22,ERROR,9:30,9:35,ERROR,9:43
ERROR,9:03,9:09,9:15,ERROR,9:24,9:30,9:32,ERROR,9:40,9:45,ERROR,9:53
ERROR,9:13,9:19,9:25,ERROR,9:34,9:40,9:42,ERROR,9:50,9:55,ERROR,10:03
ERROR,9:23,9:29,9:35,ERROR,9:44,9:50,9:52,ERROR,10:00,10:05,10:13,10:19
ERROR,9:33,9:39,9:45,ERROR,9:54,10:00,10:02,ERROR,10:10,10:15,10:23,10:29
ERROR,9:43,9:49,9:55,ERROR,10:04,10:10,10:12,ERROR,10:20,10:25,10:33,10:39
ERROR,9:53,9:59,10:05,ERROR,10:14,10:20,10:22,ERROR,10:30,10:35,10:43,10:49
ERROR,10:03,10:09,10:15,ERROR,10:24,10:30,10:32,ERROR,10:40,10:45,10:53,10:59
10:05,10:09,10:15,10:21,ERROR,10:30,10:40,10:42,ERROR,10:50,10:55,11:03,11:09
10:15,10:19,10:25,10:31,ERROR,10:40,10:50,10:52,ERROR,11:00,11:05,11:13,11:19
10:25,10:29,10:35,10:41,ERROR,10:50,11:00,11:02,ERROR,11:10,11:15,11:23,11:29
10:35,10:39,10:45,10:51,ERROR,11:00,11:10,11:12,ERROR,11:20,11:25,11:33,11:39
10:45,10:49,10:55,11:01,ERROR,11:10,11:20,11:22,ERROR,11:30,11:35,11:43,11:49
10:55,10:59,11:05,11:11,ERROR,11:20,11:30,11:32,ERROR,11:40,11:45,11:53,11:59
11:05,11:09,11:15,11:21,ERROR,11:30,11:40,11:42,ERROR,11:50,11:55,24:03:00,24:09:00
11:15,11:19,11:25,11:31,ERROR,11:40,11:50,11:52,ERROR,24:00:00,24:05:00,24:13:00,24:19:00
11:25,11:29,11:35,11:41,ERROR,11:50,24:00:00,24:02:00,ERROR,24:10:00,24:15:00,24:23:00,24:29:00
11:35,11:39,11:45,11:51,ERROR,24:00:00,24:10:00,24:12:00,ERROR,24:20:00,24:25:00,24:33:00,24:39:00
11:45,11:49,11:55,24:01:00,ERROR,24:10:00,24:20:00,24:22:00,ERROR,24:30:00,24:35:00,24:43:00,24:49:00
11:55,11:59,24:05:00,24:11:00,ERROR,24:20:00,24:30:00,24:32:00,ERROR,24:40:00,24:45:00,24:53:00,24:59:00
24:05:00,24:11:00,24:17:00,24:23:00,ERROR,24:32:00,24:40:00,24:42:00,ERROR,24:50:00,24:55:00,13:03:00,13:09:00
24:15:00,24:21:00,24:27:00,24:33:00,ERROR,24:42:00,24:50:00,24:52:00,ERROR,13:00:00,13:05:00,13:13:00,13:19:00
24:25:00,24:31:00,24:37:00,24:43:00,ERROR,24:52:00,13:00:00,13:02:00,ERROR,13:10:00,13:15:00,13:23:00,13:29:00
24:35:00,24:41:00,24:47:00,24:53:00,ERROR,13:02:00,13:10:00,13:12:00,ERROR,13:20:00,13:25:00,13:33:00,13:39:00
24:45:00,24:51:00,24:57:00,13:03:00,ERROR,13:12:00,13:20:00,13:22:00,ERROR,13:30:00,13:35:00,13:43:00,13:49:00
24:55:00,13:01:00,13:07:00,13:13:00,ERROR,13:22:00,13:30:00,13:32:00,ERROR,13:40:00,13:45:00,13:53:00,13:59:00
13:05:00,13:11:00,13:17:00,13:23:00,ERROR,13:32:00,13:40:00,13:42:00,ERROR,13:50:00,13:55:00,14:03:00,14:09:00
13:15:00,13:21:00,13:27:00,13:33:00,ERROR,13:42:00,13:50:00,13:52:00,ERROR,14:00:00,14:05:00,14:13:00,14:19:00
13:25:00,13:31:00,13:37:00,13:43:00,ERROR,13:52:00,14:00:00,14:02:00,ERROR,14:10:00,14:15:00,14:23:00,14:29:00
13:35:00,13:41:00,13:47:00,13:53:00,ERROR,14:02:00,14:10:00,14:12:00,ERROR,14:20:00,14:25:00,14:33:00,14:39:00
13:45:00,13:51:00,13:57:00,14:03:00,ERROR,14:12:00,14:20:00,14:22:00,ERROR,14:30:00,14:35:00,14:43:00,14:49:00
13:55:00,14:01:00,14:07:00,14:13:00,ERROR,14:22:00,14:30:00,14:32:00,ERROR,14:40:00,14:45:00,14:53:00,14:59:00
14:05:00,14:11:00,14:17:00,14:23:00,ERROR,14:32:00,14:40:00,14:42:00,ERROR,14:50:00,14:55:00,15:03:00,15:09:00
14:15:00,14:21:00,14:27:00,14:33:00,ERROR,14:42:00,14:50:00,14:52:00,ERROR,15:00:00,15:05:00,15:13:00,15:19:00
14:25:00,14:31:00,14:37:00,14:43:00,ERROR,14:52:00,15:00:00,15:02:00,ERROR,15:10:00,15:15:00,15:23:00,15:29:00
14:35:00,14:41:00,14:47:00,14:53:00,ERROR,15:02:00,15:10:00,15:12:00,ERROR,15:20:00,15:25:00,15:33:00,15:39:00
14:45:00,14:51:00,14:57:00,15:03:00,ERROR,15:12:00,15:20:00,15:22:00,ERROR,15:30:00,15:35:00,15:43:00,15:49:00
14:55:00,15:01:00,15:07:00,15:13:00,ERROR,15:22:00,15:30:00,15:32:00,ERROR,15:40:00,15:45:00,15:53:00,15:59:00
15:05:00,15:11:00,15:17:00,15:23:00,ERROR,15:32:00,15:40:00,15:42:00,ERROR,15:50:00,15:55:00,16:03:00,16:09:00
15:15:00,15:21:00,15:27:00,15:33:00,15:34:00,15:44:00,15:50:00,15:52:00,ERROR,16:00:00,16:05:00,16:13:00,16:19:00
15:25:00,15:31:00,15:37:00,15:43:00,15:44:00,15:54:00,16:00:00,16:02:00,ERROR,16:10:00,16:15:00,16:23:00,16:29:00
15:35:00,15:41:00,15:47:00,15:53:00,15:54:00,16:04:00,16:10:00,16:12:00,ERROR,16:20:00,16:25:00,16:33:00,16:39:00
15:45:00,15:51:00,15:57:00,16:03:00,16:04:00,16:14:00,16:20:00,16:22:00,ERROR,16:30:00,16:35:00,16:43:00,16:49:00
15:55:00,16:01:00,16:07:00,16:13:00,16:14:00,16:24:00,16:30:00,16:32:00,ERROR,16:40:00,16:45:00,16:53:00,16:59:00
16:05:00,16:11:00,16:17:00,16:23:00,16:24:00,16:34:00,16:40:00,16:42:00,ERROR,16:50:00,16:55:00,17:03:00,17:09:00
16:15:00,16:21:00,16:27:00,16:33:00,16:34:00,16:44:00,16:50:00,16:52:00,ERROR,17:00:00,17:05:00,17:13:00,17:19:00
16:25:00,16:31:00,16:37:00,16:43:00,16:44:00,16:54:00,17:00:00,17:02:00,ERROR,17:10:00,17:15:00,17:23:00,17:29:00
16:35:00,16:41:00,16:47:00,16:53:00,16:54:00,17:04:00,17:10:00,17:12:00,ERROR,17:20:00,17:25:00,17:33:00,17:39:00
16:45:00,16:51:00,16:57:00,17:03:00,17:04:00,17:14:00,17:20:00,17:22:00,ERROR,17:30:00,17:35:00,17:43:00,17:49:00
16:55:00,17:01:00,17:07:00,17:13:00,17:14:00,17:24:00,17:30:00,17:32:00,ERROR,17:40:00,17:45:00,17:53:00,17:59:00
17:05:00,17:11:00,17:17:00,17:23:00,17:24:00,17:34:00,17:40:00,17:42:00,ERROR,17:50:00,17:55:00,18:03:00,18:09:00
17:15:00,17:21:00,17:27:00,17:33:00,ERROR,17:42:00,17:50:00,17:52:00,ERROR,18:00:00,18:05:00,18:13:00,18:19:00
17:25:00,17:31:00,17:37:00,17:43:00,ERROR,17:52:00,18:00:00,18:02:00,ERROR,18:10:00,18:15:00,18:23:00,18:26:00
17:35:00,17:41:00,17:47:00,17:53:00,ERROR,18:02:00,18:10:00,18:12:00,ERROR,18:20:00,18:25:00,18:33:00,18:36:00
17:45:00,17:51:00,17:57:00,18:03:00,ERROR,18:12:00,18:20:00,18:22:00,ERROR,18:30:00,18:35:00,18:43:00,18:46:00
17:55:00,18:01:00,18:07:00,18:13:00,ERROR,18:22:00,18:30:00,18:32:00,ERROR,18:40:00,18:45:00,18:53:00,18:56:00
18:05:00,18:11:00,18:17:00,18:23:00,ERROR,18:32:00,18:40:00,18:42:00,ERROR,18:50:00,18:55:00,19:03:00,19:06:00
18:15:00,18:21:00,18:27:00,18:33:00,ERROR,18:42:00,18:50:00,18:52:00,ERROR,19:00:00,19:05:00,19:13:00,19:16:00
