Depart Hasbrouck Apartments,Baker Flagpole,Schwartz CPA,Uris Hall,Boyce Thompson Institute,Fairview / Maplewood Park,East Hill Plaza Arrive,East Hill Plaza Depart,Maple / Maplewood Park,Vet School,Uris Hall Across the Street,Schwartz CPA,Baker Flagpole Slopeside,Arrive Hasbrouck Apartments
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
8:00,8:07,8:10,8:14,8:18,8:22,8:26,8:31,8:34,8:38,8:42,8:48,8:51,8:59
9:00,9:07,9:10,9:14,9:18,9:22,9:26,9:31,9:34,9:38,9:42,9:48,9:51,9:59
10:00,10:07,10:10,10:14,10:18,10:22,10:26,10:31,10:34,10:38,10:42,10:48,10:51,10:59
11:00,11:07,11:10,11:14,11:18,11:22,11:26,11:31,11:34,11:38,11:42,11:48,11:51,11:59
24:00:00,24:07:00,24:10:00,24:14:00,24:18:00,24:22:00,24:26:00,24:31:00,24:34:00,24:38:00,24:42:00,24:48:00,24:51:00,24:59:00
13:00:00,13:07:00,13:10:00,13:14:00,13:18:00,13:22:00,13:26:00,13:31:00,13:34:00,13:38:00,13:42:00,13:48:00,13:51:00,13:59:00
14:00:00,14:07:00,14:10:00,14:14:00,14:18:00,14:22:00,14:26:00,14:31:00,14:34:00,14:38:00,14:42:00,14:48:00,14:51:00,14:59:00
15:00:00,15:07:00,15:10:00,15:14:00,15:18:00,15:22:00,15:26:00,15:31:00,15:34:00,15:38:00,15:42:00,15:48:00,15:51:00,15:59:00
16:00:00,16:07:00,16:10:00,16:14:00,16:18:00,16:22:00,16:26:00,16:31:00,16:34:00,16:38:00,16:42:00,16:48:00,16:51:00,16:59:00
17:00:00,17:07:00,17:10:00,17:14:00,17:18:00,17:22:00,17:26:00,17:31:00,17:34:00,17:38:00,17:42:00,17:48:00,17:51:00,17:59:00
18:00:00,18:07:00,18:10:00,18:14:00,18:18:00,18:22:00,18:26:00,18:31:00,18:34:00,18:38:00,18:42:00,18:48:00,18:51:00,18:59:00
19:00:00,19:07:00,19:10:00,19:14:00,19:18:00,19:22:00,19:26:00,19:31:00,19:34:00,19:38:00,19:42:00,19:48:00,19:51:00,19:59:00
20:00:00,20:07:00,20:10:00,20:14:00,20:18:00,20:22:00,20:26:00,20:31:00,20:34:00,20:38:00,20:42:00,20:48:00,20:51:00,20:59:00
21:00:00,21:07:00,21:10:00,21:14:00,21:18:00,21:22:00,21:26:00,21:31:00,21:34:00,21:38:00,21:42:00,21:48:00,21:51:00,21:59:00
22:00:00,22:07:00,22:10:00,22:14:00,22:18:00,22:22:00,22:26:00,22:31:00,22:34:00,22:38:00,22:42:00,22:48:00,22:51:00,22:59:00
23:00:00,23:07:00,23:10:00,23:14:00,23:18:00,23:22:00,23:26:00,23:31:00,23:34:00,23:38:00,23:42:00,23:48:00,23:51:00,23:59:00
12:00,12:07,12:10,12:14,12:18,12:22,12:26,12:31,12:34,12:38,12:42,12:48,12:51,12:59
